,Image,Classification,DateTime,Latitude,Longitude,Altitude
0,c:\Users\HP\Documents\PhilSA\road-classification\01 Road Use Classification\1. Motorcycle Taxis\IMG_3878.HEIC,Motorcycle Taxis,05/06/2023 5:01,10.76976389,106.7003694,13.89233041
1,c:\Users\HP\Documents\PhilSA\road-classification\01 Road Use Classification\1. Motorcycle Taxis\IMG_3879.HEIC,Motorcycle Taxis,05/06/2023 5:02,10.76983056,106.7004167,6.608486404
2,c:\Users\HP\Documents\PhilSA\road-classification\01 Road Use Classification\1. Motorcycle Taxis\IMG_3885.HEIC,Motorcycle Taxis,05/06/2023 5:03,10.77021111,106.7007972,10.64649772
3,c:\Users\HP\Documents\PhilSA\road-classification\01 Road Use Classification\1. Motorcycle Taxis\IMG_3891.HEIC,Motorcycle Taxis,05/06/2023 5:06,10.7704,106.7009361,2.427700282
4,c:\Users\HP\Documents\PhilSA\road-classification\01 Road Use Classification\1. Motorcycle Taxis\IMG_3893.HEIC,Motorcycle Taxis,05/06/2023 5:06,10.77041111,106.7009889,0.872249833
5,c:\Users\HP\Documents\PhilSA\road-classification\01 Road Use Classification\1. Motorcycle Taxis\IMG_3898.HEIC,Motorcycle Taxis,05/06/2023 5:08,10.77046389,106.7014167,2.440212489
6,c:\Users\HP\Documents\PhilSA\road-classification\01 Road Use Classification\1. Motorcycle Taxis\IMG_3902.HEIC,Motorcycle Taxis,05/06/2023 5:09,10.770125,106.7015694,8.795238888
7,c:\Users\HP\Documents\PhilSA\road-classification\01 Road Use Classification\1. Motorcycle Taxis\IMG_3903.HEIC,Motorcycle Taxis,05/06/2023 5:09,10.77003889,106.7016139,10.10375135
8,c:\Users\HP\Documents\PhilSA\road-classification\01 Road Use Classification\1. Motorcycle Taxis\IMG_3911.HEIC,Motorcycle Taxis,05/06/2023 5:12,10.76926111,106.7019667,8.219086471
9,c:\Users\HP\Documents\PhilSA\road-classification\01 Road Use Classification\1. Motorcycle Taxis\IMG_3912.HEIC,Motorcycle Taxis,05/06/2023 5:12,10.76903611,106.7018806,9.309079885
10,c:\Users\HP\Documents\PhilSA\road-classification\01 Road Use Classification\1. Motorcycle Taxis\IMG_3914.HEIC,Motorcycle Taxis,05/06/2023 5:12,10.76888333,106.7017528,9.371528616
11,c:\Users\HP\Documents\PhilSA\road-classification\01 Road Use Classification\1. Motorcycle Taxis\IMG_3939.HEIC,Motorcycle Taxis,05/06/2023 7:12,10.76949167,106.7001278,11.44202756
12,c:\Users\HP\Documents\PhilSA\road-classification\01 Road Use Classification\1. Motorcycle Taxis\IMG_3947.HEIC,Motorcycle Taxis,05/06/2023 7:13,10.77005556,106.7005222,10.11062496
13,c:\Users\HP\Documents\PhilSA\road-classification\01 Road Use Classification\1. Motorcycle Taxis\IMG_3948.HEIC,Motorcycle Taxis,05/06/2023 7:13,10.77004722,106.7005222,10.23291179
14,c:\Users\HP\Documents\PhilSA\road-classification\01 Road Use Classification\1. Motorcycle Taxis\IMG_3953.HEIC,Motorcycle Taxis,05/06/2023 7:14,10.77036389,106.7008583,10.5719196
